,Age,Probability
0,18,15
1,19,14
2,20,15
3,21,16
4,22,14
5,23,14
6,24,16
7,25,15
8,26,14
9,27,15
10,28,14
11,29,13
12,30,14
13,31,12
14,32,12
15,33,13
16,34,12
17,35,13
18,36,12
19,37,11
20,38,14
21,39,12
22,40,12
23,41,10
24,42,11
25,43,11
26,44,10
27,45,11
28,45,12
29,46,13
30,47,12
31,48,17
32,49,13
33,50,10
34,51,14
35,52,10
36,53,12
37,54,8
38,55,9
39,56,12
40,57,13
41,58,12
42,59,11
43,60,10
44,61,8
45,62,9
46,63,10
47,64,13
48,65,11
49,66,7
50,67,11
51,68,9
52,69,8
53,70,11
54,71,11
55,72,11
56,73,7
57,74,8
58,75,9
