,Age,Probability
0,18,30
1,19,29
2,20,31
3,21,32
4,22,30
5,23,30
6,24,32
7,25,31
8,26,29
9,27,30
10,28,28
11,29,28
12,30,29
13,31,25
14,32,24
15,33,26
16,34,24
17,35,25
18,36,23
19,37,21
20,38,25
21,39,21
22,40,21
23,41,18
24,42,18
25,43,18
26,44,16
27,45,17
28,45,16
29,46,16
30,47,16
31,48,18
32,49,15
33,50,14
34,51,15
35,52,13
36,53,14
37,54,11
38,55,12
39,56,13
40,57,13
41,58,12
42,59,11
43,60,11
44,61,9
45,62,9
46,63,9
47,64,10
48,65,9
49,66,7
50,67,9
51,68,7
52,69,7
53,70,8
54,71,8
55,72,7
56,73,5
57,74,5
58,75,5
